England,4009.00,7092,3074,1.769019706,336113.7441,52370.71589,283743.0282
East Midlands,423.00,747,324,1.765957447,335531.9149,52314.89362,283217.0213
East of England,870.00,1540,667,1.770114943,336321.8391,52363.33333,283958.5057
North East,275.00,486,211,1.767272727,335781.8182,52404.72727,283377.0909
North West,513.00,908,393,1.769980507,336296.2963,52323.39181,283972.9045
London,31.00,55,24,1.774193548,337096.7742,52877.41935,284219.3548
South East,106.00,187,81,1.764150943,335188.6792,52191.50943,282997.1698
South West,817.00,1445,627,1.768665851,336046.5116,52416.27907,283630.2326
West Midlands,175.00,310,134,1.771428571,336571.4286,52298.28571,284273.1429
Yorkshire and the Humber,799.00,1414,613,1.76971214,336245.3066,52400.37547,283844.9312
Northern Ireland,1312.00,3000,1349,2.286585366,434451.2195,70226.14329,364225.0762
Scotland,3512.00,18862,8299,5.370728929,1020438.497,161395.7005,859042.7961
Wales,708.00,2865,1272,4.046610169,768855.9322,122708.4746,646147.4576
