England,743058.00,0.01465027,126.8888889,11433,10886,2783.551217,300.9143489,2482.636868
East Midlands,87552.00,0.00172619,134.5833333,1347,1283,2784.288194,300.8894306,2483.398764
East of England,105329.00,0.00207668,132.8333333,1620,1543,2783.374,300.7962805,2482.577719
North East,47458.00,0.00093569,119.0833333,730,695,2782.460281,300.8284017,2481.631879
North West,85035.00,0.00167656,118.8333333,1308,1246,2784.030105,300.8260464,2483.204059
London,25810.00,0.00050887,134.0833333,397,378,2782.642387,300.8208336,2481.821553
South East,114235.00,0.00225228,134.0833333,1758,1673,2782.597278,300.971306,2481.625972
South West,122607.00,0.00241734,130.1666667,1887,1797,2784.751278,300.9969135,2483.754365
West Midlands,71506.00,0.00140982,119.25,1100,1047,2782.004307,300.8538744,2481.150433
Yorkshire and the Humber,83526.00,0.00164681,119.0833333,1286,1224,2784.282738,301.109663,2483.173075
Northern Ireland,23869.00,0.012275336,112,334,293,2332.31388,273.6639874,2058.649893
Scotland,61449.00",0.005728328,96.7,365,352,1088.382236,116.1671816,972.2150541
Wales,55773.00,0.018808384,113.275,1092,1049,3573.592957,382.916465,3190.676492
